"Affiliation","HP-LocalDeviceID","DeviceSN","Manufacturer","CameraModel","HP-CameraModel","Edition","DeviceType","Sensor","Description","LensMount","Firmware","version","HasPRNUData"
"RIT","1019035A","1019035A","Casio","QV-8000SX","QV-8000SX",,"Point&Shoot","CCD","1.3 megapixel CCD delivering up to 1280 x 960 pixel images. Rotating Lens design","builtin",,,1
"PAR","102510CM6C71",,"Seek Thermal","PIR-206","Thermal Imaging Camera",,"MultiSpectral","True Thermal","Vanadium Oxide Micro Bolometer, Chalcogenide lens, 36 degree field of view, Magnesium housing, long wave infared 7.2-13 microns, -40C to 330C detection","builtin","default",,0
"RIT","13A41E07","13A41E07","GoPro",,"Hero 3 Plus",,"Action Camera",,,"builtin",,,1
"RIT","202533","212563","Nikon",,"8000 ED",,"film scanner",,,"builtin",,,0
"RIT","202553","920500204","Canon","Canon EOS D60","60D IR","IR","DSLR","APS-C","6 MP Pixel Dimensions: 3072x2048 CMOS no GPS  Digic 5 processor No video IR Filter Removed","EF","default",,0
"RIT","202554","920500173","Canon",,"60D IR","IR","DSLR","APS-C","6 MP Pixel Dimensions: 3072x2048 CMOS no GPS  Digic 5 processor No video IR Filter Removed","EF","default",,0
"RIT","202607","1313","Betterlight",,"6K 4x5 scan back",,"Digital Back","Medium Format Sensor size","48 MP Pixel Dimensions: 6000x8000 CCD","4x5 camera",,,0
"RIT","202610","FX01011020","Hasselblad",,"Flextight 848","ESP27","film scanner",,,"builtin",,,0
"RIT","202611","FX01011018","Hasselblad",,"Flextight 848","ESP26","film scanner",,,"builtin",,,0
"RIT","202612","FX01021018","Hasselblad",,"Flextight 848","ESP28","film scanner",,,"builtin",,,0
"RIT","236025","63A90148","FujiFilm",,"IRUV (S3)",,"MultiSpectral","APS-C","6 MP Pixel Dimensions: 4256x2848 CCD no GPS  No video no IR filter","F-Mount",,,0
"RIT","237567","720304145","Canon",,"5D Mk II",,"DSLR","Full Frame","21 MP Pixel Dimensions: 5616x3744 CMOS No GPS Digic 4 processor","EF","default",,0
