ID,AppName,MobileDeviceBrand,DeveloperManufacturer,IsCapture,IsEditor,Licensor
1,"PlainVR","Windows","",0,0,""
2,"No crop Insta Square Size","Windows","",0,0,""
3,"Media Fire","Windows","",0,0,""
4,"Photo Background","Windows","",0,0,""
5,"Romantic Phot Frames","Windows","",0,0,""
6,"Love You Collages Photo Editor","Windows","",0,0,""
7,"BLACK","Windows","",0,0,""
8,"Ugly Face Booth Funny Effects","Windows","",0,0,""
9,"Ztitch","Windows","",0,0,""
10,"Photo HUB","Windows","",0,0,""
11,"Photo Frame Collage Camera ","Windows","",0,0,""
12,"HDR Photo Camera Lite","Windows","",0,0,""
13,"Superheroes Photo Booth","Windows","",0,0,""
14,"PIP Camera Effects","Windows","",0,0,""
15,"Textifier","Windows","",0,0,""
16,"CnX Player","Windows","",0,0,""
17,"Phantom Photo","Windows","",0,0,""
18,"Photos in Glass","Windows","",0,0,""
19,"Pickit Uploader","Windows","",0,0,""
20,"Beautiful Floweres Photo Frames HD","Windows","",0,0,""
21,"Ghep anh So Cool","Windows","",0,0,""
22,"Picture Grid Collage","Windows","",0,0,""
23,"Cam+","Windows","",0,0,""
24,"Split Pic","Windows","",0,0,""
25,"Geo Cam","Windows","",0,0,""
26,"Change Dress & Clothing Color","Windows","",0,0,""
27,"Pattern Startscreen","Windows","",0,0,""
28,"Tattoo Gallery 2.0","Windows","",0,0,""
29,"Picture Say","Windows","",0,0,""
30,"Gif Effect Maker","Windows","",0,0,""
31,"XnRetro","Windows","",0,0,""
32,"Selfie","Windows","",0,0,""
33,"PhotoTales","Windows","",0,0,""
34,"Picture Info ","Windows","",0,0,""
35,"Flash Selfie","Windows","",0,0,""
36,"Nature HD Photo Frames","Windows","",0,0,""
37,"Voice Camera","Windows","",0,0,""
38,"Masks","Windows","",0,0,""
39,"Black and White Camera + ","Windows","",0,0,""
40,"Slideshows VR","Windows","",0,0,""
41,"Zombie Camera Booth FREE","Windows","",0,0,""
42,"InstaCam Pro","Windows","",0,0,""
43,"Warp Photo Booth","Windows","",0,0,""
44,"InstagramDownloader","Windows","",0,0,""
45,"Shakem","Windows","",0,0,""
46,"Moquu","Windows","",0,0,""
47,"Lenses","Windows","",0,0,""
48,"Zombie Face Photo Maker HD","Windows","",0,0,""
49,"Pixel ","Windows","",0,0,""
50,"Camera Roll Sync","Windows","",0,0,""
51,"Camera Timer","Windows","",0,0,""
52,"Glitter Photo Frames","Windows","",0,0,""
53,"Classic Photo Editor","Windows","",0,0,""
54,"Birthday Collages for Teens","Windows","",0,0,""
55,"Self Timer","Windows","",0,0,""
56,"Ghosts in your photo - Prank","Windows","",0,0,""
57,"Photogram","Windows","",0,0,""
58,"ShutterPro","Windows","",0,0,""
59,"Photo Booth Face Effects","Windows","",0,0,""
60,"Write on Picture (Free)","Windows","",0,0,""
61,"Magic Hours","Windows","",0,0,""
62,"Water Fall Photo Fram","Windows","",0,0,""
63,"Video Squarer Pro","Windows","",0,0,""
64,"KVADPhoto+","Windows","",0,0,""
65,"Ravishing Lumia","Windows","",0,0,""
66,"Hipster Camera","Windows","",0,0,""
67,"Fat You!","Windows","",0,0,""
68,"Stayfilm","Windows","",0,0,""
69,"Headshot Free","Windows","",0,0,""
70,"Custom collage Free","Windows","",0,0,""
71,"PhotoShader","Windows","",0,0,""
72,"Photo editor Free","Windows","",0,0,""
73,"photo Frame - Love","Windows","",0,0,""
74,"Glass and Bottle Frames","Windows","",0,0,""
75,"PIP Effects","Windows","",0,0,""
76,"Face Changer Photo Fun","Windows","",0,0,""
77,"SoMEE Free","Windows","",0,0,""
78,"Picture2Cams","Windows","",0,0,""
79,"Amazing Photo Collage Editor","Windows","",0,0,""
80,"Intellicam","Windows","",0,0,""
81,"I Love You Photo Frames","Windows","",0,0,""
82,"Photo Mixer Ultimate","Windows","",0,0,""
83,"Prinicular","Windows","",0,0,""
84,"10 Player","Windows","",0,0,""
85,"Photo Studio","Windows","",0,0,""
86,"Photo Editor Pro","Windows","",0,0,""
87,"Face Fun Photo Collage Maker","Windows","",0,0,""
88,"Princess Photo Frame","Windows","",0,0,""
89,"Funny Mirror","Windows","",0,0,""
90,"PhotoEditor by BeHance","Android","",0,0,""
91,"Flickr","Android","",0,0,""
92,"Color Grab","Android","",0,0,""
93,"Photo Lab Picture Editor FX","Android","",0,0,""
94,"YouPic","Android","",0,0,""
95,"Boomarang from Instagram","Android","",0,0,""
96,"Lune","Android","",0,0,""
97,"Camera MX","Android","",0,0,""
98,"Smart HDR","Android","",0,0,""
99,"Glitch!","Android","",0,0,""
100,"Behance Display","Android","",0,0,""
101,"Vivv Free Effects and filters","Android","",0,0,""
102,"PhotoSuite 4 Free","Android","",0,0,""
103,"Fotor Photo Editor ","Android","",0,0,""
104,"Thug Life Photo Maker","Android","",0,0,""
105,"Layout from Instagram","Android","",0,0,""
106,"Lidow ","Android","",0,0,""
107,"Pixelator","Windows","",0,0,""
108,"Phot Effects Editor","Windows","",0,0,""
109,"DualShot","Windows","",0,0,""
110,"Blendifier","Windows","",0,0,""
111,"Perfect Photo Locker","Windows","",0,0,""
112,"Photos Collage","Windows","",0,0,""
113,"Text To Image Maker","Windows","",0,0,""
114,"Face Mask","Windows","",0,0,""
115,"Project Tripod Blend Collage Photo Editor","Windows","",0,0,""
116,"Blur Photo Background ","Windows","",0,0,""
117,"Skechifi","Windows","",0,0,""
118,"Color Splash Effects Photo","Windows","",0,0,""
119,"Camera and Photo Filters","Windows","",0,0,""
120,"Foto Colagem","Windows","",0,0,""
121,"Add Audio to Video Pro","Windows","",0,0,""
122,"Glam Girl Photo Booth Studio","Windows","",0,0,""
123,"Snap It!","Windows","",0,0,""
124,"Face Funny Changer","Windows","",0,0,""
125,"Camera Buddy ++ ","Windows","",0,0,""
126,"1Shot Camera","Windows","",0,0,""
127,"Sketch Me! Pro","Windows","",0,0,""
128,"Gig Me Camera!","Windows","",0,0,""
129,"Kaleidoscopic","Windows","",0,0,""
130,"AutoPanorama","Windows","",0,0,""
131,"OnePhoto Plus","Windows","",0,0,""
132,"Photostream","Windows","",0,0,""
133,"Photo Mixer Photo Collage","Windows","",0,0,""
134,"Dark Lumia","Windows","",0,0,""
135,"Funny Faces","Windows","",0,0,""
136,"DECO FACE Free","Windows","",0,0,""
137,"HDR X","Windows","",0,0,""
138," Insta Square Size","Windows","",0,0,""
139,"Media Player Lite","Windows","",0,0,""
140,"Video Player!","Windows","",0,0,""
141,"Collage Maker - Photo Grid","Windows","",0,0,""
142,"Foto Slideshow","Windows","",0,0,""
143,"Image Editor lite","Windows","",0,0,""
144,"Photo Lock Advanced","Windows","",0,0,""
145,"Love Collage Maker for Photos","Windows","",0,0,""
146,"Blur ","Windows","",0,0,""
147,"Wallpaper HD 2015","Windows","",0,0,""
148,"Colorify","Windows","",0,0,""
149,"Snapcat","Windows","",0,0,""
150,"Face Touch","Windows","",0,0,""
151,"Auto Face Swap","Windows","",0,0,""
152,"Photo Blender Camera","Windows","",0,0,""
153,"Video 2 Gif","Windows","",0,0,""
154,"SpyPhone","Windows","",0,0,""
155,"Cute Frames","Windows","",0,0,""
156,"SloPro","Windows","",0,0,""
157,"PicMix","Windows","",0,0,""
158,"Strange Camera","Windows","",0,0,""
159,"Mirror Photo Edit Collage","Windows","",0,0,""
160,"Camera Effects +","Windows","",0,0,""
161,"Camera 360","Android","",0,0,""
162,"No Crop & Square for Instagram","Android","",0,0,""
163,"500px","Android","",0,0,""
164,"Face Editor by Scoompa","Android","",0,0,""
165,"Photo Editor Pro","Android","",0,0,""
166,"Snapseed","Android","",0,0,""
167,"Photo Gallery HD and Editor","Android","",0,0,""
168,"A+ Gallery Photos & Videos","Android","",0,0,""
169,"Pixiz","Android","",0,0,""
170,"Photo Watermark","Android","",0,0,""
171,"NIKON IMAGE SPACE","Android","",0,0,""
172,"Candy Camera","Android","",0,0,""
173,"Phonto ","Android","",0,0,""
174,"Shutterstock Contributor","Android","",0,0,""
175,"PicsArt Photo Studio","Android","",0,0,""
176,"PicLab","Android","",0,0,""
177,"Photo Art","Android","",0,0,""
178,"PhotoLayers","Android","",0,0,""
179,"Retrica","Android","",0,0,""
180,"PhotoDirector Photo Editor App","Android","",0,0,""
181,"Photo Editor - FotoRus","Android","",0,0,""
182,"Background Eraser","Android","",0,0,""
183,"Video Editor No Crop, Music, Cut","Android","",0,0,""
184,"Font Studio-Photo Texts Image","Android","",0,0,""
185,"Blurize","Android","",0,0,""
186,"InstaSize","Android","",0,0,""
187,"Moments","Android","",0,0,""
188,"Photo Editor by Aviary","Android","",0,0,""
189,"You Cam Perfect","Android","",0,0,""
190,"Night Vision Camera","Android","",0,0,""
191,"Spinly Photo Editor","Android","",0,0,""
192,"AfterFocus","Android","",0,0,""
193,"Optical Flares","Android","",0,0,""
194,"Plastic Surgery Simulator Lite","Android","",0,0,""
195,"Photoshop Editor","Android","",0,0,""
196,"Sketch Guru","Android","",0,0,""
197,"B612 ","Android","",0,0,""
198,"Instagrids","Android","",0,0,""
199,"Photo Collada","Android","",0,0,""
200,"Inkgboard","Android","",0,0,""
201,"Ablub","Android","",0,0,""
202,"PIP Camera ","Android","",0,0,""
203,"Noah Camera","Android","",0,0,""
204,"YouCam Makeup","Android","",0,0,""
205,"SmugMug","Android","",0,0,""
206,"Square InstaPic","Android","",0,0,""
207,"Facetune","Android","",0,0,""
208,"AR effect","Android","",0,0,""
209,"JPEG Converter","Android","",0,0,""
210,"KODAK Moments","Android","",0,0,""
211,"Scene","Android","",0,0,""
212,"Shapegram","Android","",0,0,""
213,"Rookie Cam by JellyBus","Android","",0,0,""
214,"LINE Camera","Android","",0,0,""
215,"MIX by Camera 360","Android","",0,0,""
216,"PlayMemories Online","Android","",0,0,""
