compute,-IFD0:ModifyDate,2016:07:07 11:17:52
database,-ExifIFD:SceneType,Directly photographed
database,-Panasonic:Audio,No
database,-PrintIM:PrintIMVersion,0250
database,-ExifIFD:ExifVersion,0230
database,-IFD0:Orientation,Horizontal (normal)
database,-Panasonic:NoiseReduction,Standard
database,-Panasonic:ImageStabilization,"On, Mode 1"
database,-Panasonic:SweepPanoramaFieldOfView,0
database,-Panasonic:State,
database,-MPImage1:DependentImage1EntryNumber,2
database,-Panasonic:PanasonicImageWidth,0
database,-Panasonic:SequenceNumber,0
database,-MPImage1:MPImageType,Baseline MP Primary Image
database,-IFD1:ThumbnailOffset,14848
database,-Panasonic:TouchAE,Off
database,-Panasonic:ColorMode,Normal
database,-Panasonic:ConversionLens,Off
database,-ExifIFD:ColorSpace,sRGB
database,-Panasonic:InternalNDFilter,0
database,-Panasonic:FacesDetected,0
database,-Panasonic:TimerRecording,Off
database,-IFD0:ResolutionUnit,inches
database,-ExifIFD:GainControl,None
database,-IFD0:Artist,
database,-IFD0:XResolution,180
database,-ExifIFD:ExposureTime,1/1000
database,-ExifIFD:DigitalZoomRatio,0
database,-MPImage1:MPImageFlags,Dependent parent image
database,-Panasonic:WhiteBalance,Auto
database,-MPImage2:DependentImage2EntryNumber,0
database,-ExifIFD:FNumber,3.3
database,-Panasonic:AFPointPosition,0.45 0.72
database,-ExifIFD:Flash,"Off, Did not fire"
database,-Panasonic:Rotation,Horizontal (normal)
database,-MPF0:MPFVersion,0100
database,-IPTC:CopyrightNotice,(c) 2016 MediFor
database,-Panasonic:TimeSincePowerOn,00:59:17.34
database,-ExifIFD:DateTimeOriginal,2016:07:07 11:17:52
compute,-IFD1:Orientation,Horizontal (normal)
database,-ExifIFD:FlashpixVersion,0100
database,-File:BitsPerSample,8
database,-MPImage2:MPImageFormat,JPEG
database,-ExifIFD:WhiteBalance,Auto
database,-Panasonic:AdvancedSceneType,1
database,-IFD0:Model,DMC-ZS50
database,-MPImage1:DependentImage2EntryNumber,0
database,-Panasonic:WBBlueLevel,1919
database,-Panasonic:Location,
database,-Panasonic:Title,
database,-Panasonic:CameraOrientation,Normal
database,-Panasonic:FlashWarning,No
database,-ExifIFD:CreateDate,2016:07:07 11:17:52
database,-Panasonic:Landmark,
database,-Panasonic:PitchAngle,0
database,-ExifIFD:ExposureMode,Auto
database,-Panasonic:WBRedLevel,2212
database,-Panasonic:TextStamp,Off
database,-Panasonic:WorldTimeLocation,Home
database,-ExifIFD:CustomRendered,Normal
database,-Panasonic:InternalSerialNumber,XHR1507240222_
database,-Panasonic:ClearRetouch,Off
compute,-ExifIFD:ExifImageWidth,4000
database,-ExifIFD:SensingMethod,One-chip color area
database,-IFD0:Software,Ver.1.0
database,-MPImage1:MPImageLength,4232707
database,-ExifIFD:FileSource,Digital Camera
database,-ExifIFD:SensitivityType,Standard Output Sensitivity
database,-MPImage2:MPImageFlags,Dependent child image
database,-ExifIFD:SceneCaptureType,Standard
database,-IFD1:YResolution,180
database,-File:ExifByteOrder,"Little-endian (Intel, II)"
database,-Panasonic:FacesRecognized,0
database,-Panasonic:SelfTimer,Off
database,-MPF0:NumberOfImages,2
