9	 9	 9	 12	 16	 22	 30	 39
9	 9	 11	 14	 18	 24	 32	 42
9	 11	 15	 20	 24	 31	 39	 49
12	 14	 20	 27	 34	 42	 52	 65
16	 18	 24	 34	 46	 58	 73	 90
22	 24	 31	 42	 58	 79	 102	 130
30	 32	 39	 52	 73	 102	 139	 184
39	 42	 49	 65	 90	 130	 184	 253
9	 9	 9	 12	 17	 23	 31	 41
9	 9	 11	 14	 19	 25	 33	 43
9	 11	 16	 20	 25	 32	 40	 52
12	 14	 20	 28	 35	 44	 54	 68
17	 19	 25	 35	 48	 61	 77	 96
23	 25	 32	 44	 61	 83	 109	 139
31	 33	 40	 54	 77	 109	 149	 198
41	 43	 52	 68	 96	 139	 198	 255
