9	 13	 12	 18	 28	 46	 59	 70
14	 14	 16	 22	 30	 67	 69	 63
16	 15	 18	 28	 46	 66	 80	 65
16	 20	 25	 33	 59	 100	 92	 71
21	 25	 43	 65	 78	 126	 119	 89
28	 40	 63	 74	 93	 120	 130	 106
56	 74	 90	 100	 119	 139	 138	 116
83	 106	 109	 113	 129	 115	 119	 114
9	 21	 28	 54	 114	 114	 114	 114
21	 24	 30	 76	 114	 114	 114	 114
28	 30	 65	 114	 114	 114	 114	 114
54	 76	 114	 114	 114	 114	 114	 114
114	 114	 114	 114	 114	 114	 114	 114
114	 114	 114	 114	 114	 114	 114	 114
114	 114	 114	 114	 114	 114	 114	 114
114	 114	 114	 114	 114	 114	 114	 114
